words,labels
"['Grb10', '/', 'Nedd4', '-', 'mediated', 'multiubiquitination', 'of', 'the', 'insulin', '-', 'like', 'growth', 'factor', 'receptor', 'regulates', 'receptor', 'internalization', '.']","['B-Protein', 'O', 'B-Protein', 'O', 'O', 'B-Ubiquitination', 'O', 'O', 'B-Protein', 'I-Protein', 'I-Protein', 'I-Protein', 'I-Protein', 'I-Protein', 'O', 'O', 'O', 'O']"
"['The', 'adaptor', 'protein', 'Grb10', 'is', 'an', 'interacting', 'partner', 'of', 'the', 'IGF', '-', 'I', 'receptor', '(', 'IGF', '-', 'IR', ')', 'and', 'the', 'insulin', 'receptor', '(', 'IR', ')', '.']","['O', 'O', 'O', 'B-Protein', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Protein', 'I-Protein', 'I-Protein', 'I-Protein', 'O', 'B-Protein', 'I-Protein', 'I-Protein', 'O', 'O', 'O', 'B-Protein', 'I-Protein', 'O', 'B-Protein', 'O', 'O']"
"['Previous', 'work', 'from', 'our', 'laboratory', 'has', 'established', 'the', 'role', 'of', 'Grb10', 'as', 'a', 'negative', 'regulator', 'of', 'IGF', '-', 'IR', '-', 'dependent', 'cell', 'proliferation', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Protein', 'O', 'O', 'O', 'O', 'O', 'B-Protein', 'I-Protein', 'I-Protein', 'O', 'O', 'O', 'O', 'O']"
"['We', 'have', 'shown', 'that', 'Grb10', 'binds', 'the', 'E3', 'ubiquitin', 'ligase', 'Nedd4', 'and', 'promotes', 'IGF', '-', 'I', '-', 'stimulated', 'ubiquitination', ',', 'internalization', ',', 'and', 'degradation', 'of', 'the', 'IGF', '-', 'IR', ',', 'thereby', 'giving', 'rise', 'to', 'long', '-', 'term', 'attenuation', 'of', 'signaling', '.']","['O', 'O', 'O', 'O', 'B-Protein', 'O', 'O', 'O', 'B-Protein', 'O', 'B-Protein', 'O', 'O', 'B-Protein', 'I-Protein', 'I-Protein', 'O', 'B-Catalysis', 'B-Ubiquitination', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Protein', 'I-Protein', 'I-Protein', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Recent', 'biochemical', 'evidence', 'suggests', 'that', 'tyrosine', '-', 'kinase', 'receptors', '(', 'RTK', ')', 'may', 'not', 'be', 'polyubiquitinated', 'but', 'monoubiquitinated', 'at', 'multiple', 'sites', '(', 'multiubiquitinated', ')', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['However', ',', 'the', 'type', 'of', 'ubiquitination', 'of', 'the', 'IGF', '-', 'IR', 'is', 'still', 'not', 'defined', '.']","['O', 'O', 'O', 'O', 'O', 'B-Ubiquitination', 'O', 'O', 'B-Protein', 'I-Protein', 'I-Protein', 'O', 'O', 'O', 'O', 'O']"
"['Here', 'we', 'show', 'that', 'the', 'Grb10', '/', 'Nedd4', 'complex', 'upon', 'ligand', 'stimulation', 'mediates', 'multiubiquitination', 'of', 'the', 'IGF', '-', 'IR', ',', 'which', 'is', 'required', 'for', 'receptor', 'internalization', '.']","['O', 'O', 'O', 'O', 'O', 'B-Protein', 'O', 'B-Protein', 'O', 'O', 'O', 'O', 'O', 'B-Ubiquitination', 'O', 'O', 'B-Protein', 'I-Protein', 'I-Protein', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Moreover', ',', 'Nedd4', 'by', 'promoting', 'IGF', '-', 'IR', 'ubiquitination', 'and', 'internalization', 'contributes', 'with', 'Grb10', 'to', 'negatively', 'regulate', 'IGF', '-', 'IR', '-', 'dependent', 'cell', 'proliferation', '.']","['O', 'O', 'B-Protein', 'O', 'O', 'B-Protein', 'I-Protein', 'I-Protein', 'B-Ubiquitination', 'O', 'O', 'O', 'O', 'B-Protein', 'O', 'O', 'O', 'B-Protein', 'I-Protein', 'I-Protein', 'O', 'O', 'O', 'O', 'O']"
"['We', 'also', 'demonstrate', 'that', 'the', 'IGF', '-', 'IR', 'is', 'internalized', 'through', 'clathrin', '-', 'dependent', 'and', '-', 'independent', 'pathways', '.']","['O', 'O', 'O', 'O', 'O', 'B-Protein', 'I-Protein', 'I-Protein', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Grb10', 'and', 'Nedd4', 'remain', 'associated', 'with', 'the', 'IGF', '-', 'IR', 'in', 'early', 'endosomes', 'and', 'caveosomes', ',', 'where', 'they', 'may', 'participate', 'in', 'sorting', 'internalized', 'receptors', '.']","['B-Protein', 'O', 'B-Protein', 'O', 'O', 'O', 'O', 'B-Protein', 'I-Protein', 'I-Protein', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
