labels	start	end	words
O	0	9	Enzymatic
O	10	25	characteristics
O	26	28	of
O	29	40	recombinant
O	41	47	medium
O	48	55	isozyme
O	56	58	of
O	59	60	2
O	60	61	'
O	61	62	-
O	62	63	5
O	63	64	'
O	65	79	oligoadenylate
O	80	90	synthetase
O	90	91	.

B-Protein	93	96	P69
O	97	99	is
O	100	102	an
O	103	110	isozyme
O	111	113	of
O	114	117	the
O	118	124	medium
O	125	129	size
O	130	135	class
O	136	138	of
O	139	144	human
O	145	146	2
O	146	147	'
O	147	148	-
O	148	149	5
O	149	150	'
O	151	165	oligoadenylate
O	166	177	synthetases
O	177	178	.

O	179	181	In
O	182	186	this
O	187	192	study
O	192	193	,
O	194	205	recombinant
B-Protein	206	209	P69
O	210	213	was
O	214	223	expressed
O	224	227	and
O	228	232	used
O	233	236	for
O	237	250	enzymological
O	251	254	and
O	255	265	structural
O	266	280	investigations
O	280	281	.

O	282	293	Bacterially
O	294	303	expressed
B-Protein	304	307	P69
O	308	311	was
O	312	320	inactive
O	321	328	whereas
O	329	332	the
O	333	337	same
O	338	345	protein
O	346	355	expressed
O	356	358	in
O	359	365	insect
O	366	371	cells
O	372	375	was
O	376	382	highly
O	383	389	active
O	389	390	.

O	391	398	Whether
O	399	403	this
O	404	414	difference
O	415	420	could
O	421	423	be
O	424	427	due
O	428	430	to
O	431	443	differential
O	444	448	post
O	448	449	-
O	449	462	translational
O	463	476	modifications
O	477	479	of
O	480	483	the
O	484	491	protein
O	492	495	was
O	496	508	investigated
O	508	509	.

O	510	519	Mutations
O	520	522	of
O	523	534	appropriate
O	535	543	residues
O	544	550	showed
O	551	555	that
O	556	570	myristoylation
O	571	573	of
O	574	577	the
O	578	585	protein
O	586	589	was
O	590	593	not
O	594	603	necessary
O	604	607	for
O	608	614	enzyme
O	615	623	activity
O	623	624	.

O	625	627	In
O	628	636	contrast
O	636	637	,
O	638	648	inhibition
O	649	651	of
B-Glycosylation	652	665	glycosylation
O	666	668	of
B-Protein	669	672	P69
O	672	673	,
O	674	676	by
O	677	688	tunicamycin
O	689	698	treatment
O	699	701	of
O	702	705	the
O	706	712	insect
O	713	718	cells
O	718	719	,
O	720	728	produced
O	729	731	an
O	732	745	enzymatically
O	746	754	inactive
O	755	762	protein
O	762	763	.

O	764	775	Recombinant
B-Protein	776	779	P69
O	780	788	produced
O	789	791	in
O	792	798	insect
O	799	804	cells
O	805	808	was
O	809	817	purified
O	818	820	by
O	821	829	affinity
O	830	844	chromatography
O	844	845	.

O	846	848	It
O	849	852	was
O	853	854	a
O	855	862	dimeric
O	863	875	glycoprotein
O	875	876	,
O	877	881	very
O	882	888	stable
O	889	892	and
O	893	903	completely
O	904	913	dependent
O	914	916	on
O	917	923	double
O	924	932	stranded
O	933	934	(
O	934	936	ds
O	936	937	)
O	938	941	RNA
O	942	945	for
O	946	954	activity
O	954	955	.

O	956	959	The
O	960	966	enzyme
O	967	976	catalyzed
O	977	980	the
O	981	984	non
O	984	985	-
O	985	995	processive
O	996	1005	synthesis
O	1006	1008	of
O	1009	1010	2
O	1010	1011	'
O	1011	1012	-
O	1012	1013	5
O	1013	1014	'
O	1014	1015	-
O	1015	1021	linked
O	1022	1036	oligoadenylate
O	1037	1045	products
O	1046	1056	containing
O	1057	1059	up
O	1060	1062	to
O	1063	1065	30
O	1066	1074	residues
O	1074	1075	.

O	1076	1077	2
O	1077	1078	'
O	1078	1079	-
O	1079	1080	O
O	1080	1081	-
O	1081	1091	Methylated
O	1092	1097	dsRNA
O	1098	1101	was
O	1102	1111	incapable
O	1112	1114	of
O	1115	1125	activating
B-Protein	1126	1129	P69
O	1130	1133	and
O	1134	1135	a
O	1136	1138	25
O	1138	1139	-
O	1139	1143	base
O	1144	1148	pair
O	1149	1154	dsRNA
O	1155	1158	was
O	1159	1161	as
O	1162	1171	effective
O	1172	1174	as
O	1175	1181	larger
O	1182	1187	dsRNA
O	1187	1188	.

O	1189	1193	This
O	1194	1204	expression
O	1205	1211	system
O	1212	1216	will
O	1217	1219	be
O	1220	1226	useful
O	1227	1230	for
O	1231	1236	large
O	1237	1242	scale
O	1243	1253	production
O	1254	1256	of
B-Protein	1257	1260	P69
O	1261	1264	and
O	1265	1268	its
O	1269	1276	mutants
O	1277	1280	for
O	1281	1291	structural
O	1292	1299	studies
O	1299	1300	.
