labels	start	end	words
O	0	9	Hepatitis
O	10	11	B
O	12	17	virus
B-Protein	18	19	X
O	20	27	protein
O	28	35	induces
O	36	39	the
O	40	50	expression
O	51	53	of
B-Protein	54	58	MTA1
O	59	62	and
B-Protein	63	68	HDAC1
O	68	69	,
O	70	75	which
O	76	84	enhances
O	85	92	hypoxia
O	93	102	signaling
O	103	105	in
O	106	120	hepatocellular
O	121	130	carcinoma
O	131	136	cells
O	136	137	.

O	139	149	Expression
O	150	155	level
O	156	158	of
B-Protein	159	169	metastasis
I-Protein	169	170	-
I-Protein	170	180	associated
I-Protein	181	188	protein
I-Protein	189	190	1
O	191	192	(
B-Protein	192	196	MTA1
O	196	197	)
O	198	200	is
O	201	208	closely
O	209	216	related
O	217	219	to
O	220	225	tumor
O	226	232	growth
O	233	236	and
O	237	247	metastasis
O	248	250	in
O	251	258	various
O	259	266	cancers
O	266	267	.

O	268	276	Although
O	277	286	increased
O	287	297	expression
O	298	303	level
O	304	306	of
B-Protein	307	311	MTA1
O	312	315	was
O	316	324	observed
O	325	327	in
O	328	342	hepatocellular
O	343	352	carcinoma
O	353	354	(
O	354	357	HCC
O	357	358	)
O	358	359	,
O	360	364	role
O	365	367	of
B-Protein	368	372	MTA1
O	373	380	complex
O	381	391	containing
B-Protein	392	399	histone
O	400	411	deacetylase
O	412	413	(
O	413	417	HDAC
O	417	418	)
O	419	421	in
O	422	431	hepatitis
O	432	433	B
O	434	439	virus
O	440	441	(
O	441	444	HBV
O	444	445	)
O	445	446	-
O	446	456	associated
O	457	477	hepatocarcinogenesis
O	478	481	has
O	482	485	not
O	486	490	been
O	491	498	studied
O	498	499	.

O	500	504	Here
O	504	505	,
O	506	508	we
O	509	521	demonstrated
O	522	526	that
B-Protein	527	530	HBx
O	531	539	strongly
O	540	547	induced
O	548	551	the
O	552	562	expression
O	563	565	of
B-Protein	566	570	MTA1
O	571	574	and
B-Protein	575	580	HDAC1
O	581	586	genes
O	587	589	at
O	590	603	transcription
O	604	609	level
O	609	610	.

B-Protein	611	615	MTA1
O	616	619	and
B-Protein	620	625	HDAC1
O	625	626	/
B-Protein	626	627	2
O	628	638	physically
O	639	649	associated
O	650	654	with
B-Protein	655	662	hypoxia
I-Protein	662	663	-
I-Protein	663	672	inducible
I-Protein	673	679	factor
I-Protein	679	680	-
I-Protein	680	681	1
I-Protein	682	687	alpha
O	688	689	(
B-Protein	689	692	HIF
