labels	start	end	words
O	0	9	Synthesis
O	10	12	of
O	13	37	hydroxymethylglutathione
O	38	42	from
O	43	54	glutathione
O	55	58	and
O	59	60	L
O	60	61	-
O	61	67	serine
O	68	77	catalyzed
O	78	80	by
B-Protein	81	97	carboxypeptidase
I-Protein	98	99	Y
O	99	100	.

O	102	126	Hydroxymethylglutathione
O	127	128	(
O	128	133	gamma
O	133	134	-
O	134	135	L
O	135	136	-
O	136	144	glutamyl
O	144	145	-
O	145	146	L
O	146	147	-
O	147	156	cysteinyl
O	156	157	-
O	157	158	L
O	158	159	-
O	159	165	serine
O	165	166	;
O	167	172	hmGSH
O	172	173	)
O	174	180	occurs
O	181	183	in
O	184	188	many
O	189	196	species
O	197	206	belonging
O	207	209	to
O	210	213	the
O	214	220	family
O	221	230	Gramineae
O	230	231	,
O	232	235	but
O	236	239	the
O	240	252	biosynthetic
O	253	260	pathway
O	261	264	for
O	265	270	hmGSH
O	271	274	has
O	275	278	not
O	279	283	been
O	284	294	identified
O	294	295	.

O	296	298	We
O	299	304	found
O	305	309	that
B-Protein	310	326	carboxypeptidase
I-Protein	327	328	Y
O	329	330	(
B-Protein	330	333	CPY
O	333	334	)
O	334	335	,
O	336	339	but
O	340	343	not
O	344	360	carboxypeptidase
O	361	362	A
O	362	363	,
O	364	373	catalyzed
O	374	379	hmGSH
O	380	389	synthesis
O	390	394	from
O	395	406	glutathione
O	407	410	and
O	411	412	L
O	412	413	-
O	413	419	serine
O	420	422	in
O	423	428	vitro
O	429	431	at
O	432	438	acidic
O	439	441	pH
O	441	442	.

O	443	446	CPY
O	447	451	also
O	452	461	catalyzed
O	462	479	methylglutathione
O	480	489	synthesis
O	490	494	from
O	495	506	glutathione
O	507	510	and
O	511	512	L
O	512	513	-
O	513	520	alanine
O	520	521	.

O	522	527	These
O	528	536	findings
O	537	546	suggested
O	547	551	that
O	552	553	a
O	554	570	carboxypeptidase
O	570	571	-
O	571	575	like
O	576	582	enzyme
O	583	586	may
O	587	589	be
O	590	598	involved
O	599	601	in
O	602	607	hmGSH
O	608	617	synthesis
O	618	620	in
O	621	625	vivo
O	625	626	.
