labels	start	end	words
O	0	10	Production
O	11	13	of
O	14	25	recombinant
B-Hydroxylation	26	38	hydroxylated
O	39	44	human
B-Protein	45	49	type
I-Protein	50	53	III
I-Protein	54	62	collagen
O	63	71	fragment
O	72	74	in
O	75	88	Saccharomyces
O	89	99	cerevisiae
O	99	100	.

O	102	103	A
O	104	115	recombinant
B-Hydroxylation	116	128	hydroxylated
O	129	137	fragment
O	138	140	of
O	141	146	human
B-Protein	147	151	type
I-Protein	152	155	III
I-Protein	156	164	collagen
O	165	168	has
O	169	173	been
O	174	182	produced
O	183	185	in
O	186	199	Saccharomyces
O	200	210	cerevisiae
O	211	213	by
O	214	225	coordinated
O	226	238	coexpression
O	239	241	of
O	242	243	a
O	244	252	collagen
O	253	257	gene
O	258	266	fragment
O	267	275	together
O	276	280	with
O	281	285	both
O	286	289	the
O	290	295	alpha
O	295	296	-
O	297	300	and
O	301	305	beta
O	305	306	-
O	306	313	subunit
O	314	319	genes
O	320	323	for
O	324	330	prolyl
O	330	331	-
O	331	332	4
O	332	333	-
O	333	344	hydroxylase
O	345	346	(
O	346	348	EC
O	349	350	1
O	350	351	.
O	351	353	14
O	353	354	.
O	354	356	11
O	356	357	.
O	357	358	2
O	358	359	)
O	359	360	.

O	361	364	The
O	365	373	collagen
O	374	382	fragment
O	383	392	consisted
O	393	395	of
O	396	399	255
O	400	408	residues
O	409	411	of
O	412	415	the
O	416	423	helical
O	424	430	domain
O	431	434	and
O	435	438	the
O	439	447	complete
O	448	449	C
O	449	450	-
O	450	461	telopeptide
O	462	465	and
O	466	467	C
O	467	468	-
O	468	478	propeptide
O	479	486	domains
O	486	487	.

O	488	490	It
O	491	494	was
O	495	503	inserted
O	504	509	under
O	510	513	the
O	514	521	control
O	522	524	of
O	525	528	the
O	529	536	ethanol
O	536	537	-
O	537	546	inducible
B-Protein	547	551	ADH2
O	552	560	promoter
O	561	563	in
O	564	565	a
O	566	575	multicopy
O	575	576	,
B-Protein	577	581	TRP1
O	581	582	-
O	582	592	selectable
O	592	593	,
O	594	599	yeast
O	600	610	expression
O	611	617	vector
O	617	618	,
O	619	627	YEpFlag1
O	627	628	.

O	629	632	The
O	633	650	prolyihydroxylase
O	651	658	subunit
O	659	664	genes
O	665	669	were
O	670	676	cloned
O	677	679	on
O	680	686	either
O	687	691	side
O	692	694	of
O	695	696	a
O	697	710	bidirectional
O	711	720	galactose
O	720	721	-
O	721	730	inducible
O	731	739	promoter
O	740	742	in
O	743	744	a
O	745	748	low
O	748	749	-
O	749	753	copy
O	754	768	minichromosome
O	769	774	yeast
O	775	785	expression
O	786	792	vector
O	792	793	,
O	794	801	pYEUra3
O	801	802	,
O	803	808	which
O	809	811	is
B-Protein	812	816	URA3
O	817	827	selectable
O	827	828	.

O	829	840	Coordinated
O	841	851	expression
O	852	854	of
O	855	858	the
O	859	864	three
O	865	874	different
O	875	879	gene
O	880	888	products
O	889	894	after
O	895	911	cotransformation
O	912	916	into
O	917	918	S
O	918	919	.
O	920	930	cerevisiae
O	931	934	was
O	935	943	detected
O	944	946	by
O	947	961	immunoblotting
O	961	962	.

O	963	968	Amino
O	969	973	acid
O	974	982	analysis
O	983	985	of
O	986	988	an
O	989	1003	immunoreactive
O	1004	1012	collagen
O	1013	1021	fraction
O	1022	1034	demonstrated
O	1035	1038	the
O	1039	1047	presence
O	1048	1050	of
O	1051	1065	hydroxyproline
O	1065	1066	,
O	1067	1072	while
O	1073	1076	the
O	1077	1085	presence
O	1086	1088	of
O	1089	1090	a
O	1091	1097	triple
O	1097	1098	-
O	1098	1105	helical
O	1106	1112	domain
O	1113	1115	in
O	1116	1119	the
O	1120	1128	collagen
O	1129	1137	fragment
O	1138	1141	was
O	1142	1154	demonstrated
O	1155	1157	by
O	1158	1161	its
O	1162	1172	resistance
O	1173	1175	to
O	1176	1182	pepsin
O	1183	1194	proteolysis
O	1194	1195	.
