labels	start	end	words
O	0	8	Impaired
O	9	20	trafficking
O	21	24	and
O	25	36	subcellular
O	37	49	localization
O	50	52	of
O	53	54	a
O	55	61	mutant
O	62	69	lactase
O	70	80	associated
O	81	85	with
O	86	96	congenital
O	97	104	lactase
O	105	115	deficiency
O	115	116	.

O	118	128	BACKGROUND
O	129	130	&
O	131	135	AIMS
O	135	136	:
O	137	147	Congenital
O	148	155	lactase
O	156	166	deficiency
O	167	168	(
O	168	171	CLD
O	171	172	)
O	173	175	is
O	176	177	a
O	178	183	cause
O	184	186	of
O	187	199	disaccharide
O	200	211	intolerance
O	212	215	and
O	216	229	malabsorption
O	230	243	characterized
O	244	246	by
O	247	253	watery
O	254	262	diarrhea
O	263	265	in
O	266	273	infants
O	274	277	fed
O	278	284	breast
O	285	289	milk
O	290	292	or
O	293	300	lactose
O	300	301	-
O	301	311	containing
O	312	320	formulas
O	320	321	.

O	322	325	The
O	326	335	molecular
O	336	341	basis
O	342	344	of
O	345	348	CLD
O	349	351	is
O	352	359	unknown
O	359	360	.

O	361	370	Mutations
O	371	373	in
O	374	377	the
O	378	384	coding
O	385	391	region
O	392	394	of
O	395	398	the
O	399	404	brush
O	405	411	border
O	412	418	enzyme
B-Protein	419	426	lactase
I-Protein	427	436	phlorizin
I-Protein	437	446	hydrolase
O	447	448	(
B-Protein	448	451	LPH
O	451	452	)
O	453	457	were
O	458	463	found
O	464	466	to
O	467	472	cause
O	473	476	CLD
O	477	479	in
O	480	481	a
O	482	487	study
O	488	490	of
O	491	493	19
O	494	501	Finnish
O	502	510	families
O	510	511	.

O	512	514	We
O	515	523	analyzed
O	524	527	the
O	528	535	effects
O	536	538	of
O	539	542	one
O	543	545	of
O	546	551	these
O	552	561	mutations
O	561	562	,
O	563	569	G1363S
O	569	570	,
O	571	573	on
B-Protein	574	577	LPH
O	578	585	folding
O	585	586	,
O	587	598	trafficking
O	598	599	,
O	600	603	and
O	604	612	function
O	612	613	.

O	614	621	METHODS
O	621	622	:
O	623	625	We
O	626	636	introduced
O	637	638	a
O	639	647	mutation
O	648	652	into
O	653	656	the
B-Protein	657	660	LPH
O	661	674	complementary
O	675	678	DNA
O	679	683	that
O	684	692	resulted
O	693	695	in
O	696	699	the
O	700	705	amino
O	706	710	acid
O	711	723	substitution
O	724	730	G1363S
O	730	731	.

O	732	735	The
O	736	742	mutant
O	743	747	gene
O	748	751	was
O	752	763	transiently
O	764	773	expressed
O	774	776	in
O	777	780	COS
O	780	781	-
O	781	782	1
O	783	788	cells
O	788	789	,
O	790	793	and
O	794	797	the
O	798	805	effects
O	806	810	were
O	811	819	assessed
O	820	822	at
O	823	826	the
O	827	834	protein
O	834	835	,
O	836	846	structural
O	846	847	,
O	848	851	and
O	852	863	subcellular
O	864	870	levels
O	870	871	.

O	872	879	RESULTS
