labels	start	end	words
O	0	8	Targeted
O	9	20	restoration
O	21	23	of
O	24	28	down
O	28	29	-
O	29	38	regulated
B-Protein	39	44	DAPK2
O	45	50	tumor
O	51	61	suppressor
O	62	70	activity
O	71	78	induces
O	79	88	apoptosis
O	89	91	in
O	92	99	Hodgkin
O	100	108	lymphoma
O	109	114	cells
O	114	115	.

B-Protein	117	122	Death
I-Protein	122	123	-
I-Protein	123	133	associated
I-Protein	134	141	protein
I-Protein	142	148	kinase
I-Protein	149	150	2
O	151	152	(
B-Protein	152	157	DAPK2
O	157	158	)
O	159	161	is
O	162	163	a
O	164	171	calcium
O	171	172	/
B-Protein	172	182	calmodulin
O	182	183	-
O	183	192	regulated
O	193	205	proapoptotic
O	206	212	serine
O	212	213	/
O	213	222	threonine
O	223	229	kinase
O	230	234	that
O	235	239	acts
O	240	242	as
O	243	244	a
O	245	250	tumor
O	251	261	suppressor
O	261	262	.

O	263	267	Here
O	268	270	we
O	271	275	show
O	276	280	that
B-Protein	281	286	DAPK2
O	287	289	is
O	290	294	down
O	294	295	-
O	295	304	regulated
O	305	307	in
O	308	315	Hodgkin
O	316	324	lymphoma
O	324	325	-
O	325	332	derived
O	333	338	tumor
O	339	343	cell
O	344	349	lines
O	350	353	and
O	354	358	that
B-Entity	359	367	promoter
I-Entity	367	368	-
I-Entity	368	374	region
B-DNA_methylation	375	391	hypermethylation
O	392	394	is
O	395	398	one
O	399	408	mechanism
O	409	412	for
B-Protein	413	418	DAPK2
O	419	431	inactivation
O	431	432	.

O	433	435	To
O	436	445	determine
O	446	453	whether
O	454	463	selective
O	464	478	reconstitution
O	479	481	of
B-Protein	482	487	DAPK2
O	488	497	catalytic
O	498	506	activity
O	507	509	in
O	510	515	these
O	516	521	cells
O	522	527	could
O	528	534	induce
O	535	544	apoptosis
O	544	545	,
O	546	548	we
O	549	556	created
O	557	558	a
O	559	565	fusion
O	566	573	protein
O	574	584	comprising
O	585	586	a
O	587	592	human
B-Protein	593	597	CD30
I-Protein	598	604	ligand
O	605	615	conjugated
O	616	618	to
O	619	620	a
O	621	626	human
B-Protein	627	632	DAPK2
I-Protein	633	643	calmodulin
O	643	644	-
O	644	652	deletion
O	653	659	mutant
O	659	660	.

O	661	665	Thus
O	665	666	,
O	667	678	recombinant
O	679	691	immunokinase
B-Protein	692	697	DAPK2
O	697	698	'
O	698	699	-
B-Protein	699	704	CD30L
O	705	708	has
O	709	710	a
O	711	723	constitutive
O	724	730	kinase
O	731	739	activity
O	740	744	with
O	745	753	enhanced
O	754	766	proapoptotic
O	767	775	function
O	775	776	.

O	777	779	We
O	780	784	show
O	785	789	that
O	790	794	this
O	795	807	immunokinase
O	808	814	fusion
O	815	822	protein
O	823	831	inhibits
O	832	836	cell
O	837	850	proliferation
O	851	854	and
O	855	862	induces
O	863	872	apoptotic
O	873	877	cell
O	878	883	death
O	884	896	specifically
O	897	899	in
B-Protein	900	904	CD30
O	904	905	/
B-Protein	905	910	DAPK2
O	910	911	-
O	911	919	negative
O	920	925	tumor
O	926	930	cell
O	931	936	lines
O	936	937	.

O	938	942	This
O	943	948	proof
O	948	949	-
O	949	951	of
O	951	952	-
O	952	959	concept
O	960	965	study
O	966	974	provides
O	975	978	the
O	979	984	first
O	985	998	demonstration
O	999	1001	of
O	1002	1013	therapeutic
O	1014	1024	strategies
O	1025	1030	based
O	1031	1033	on
O	1034	1037	the
O	1038	1049	restoration
O	1050	1052	of
O	1053	1054	a
O	1055	1064	defective
O	1064	1065	,
O	1066	1071	tumor
O	1071	1072	-
O	1072	1083	suppressing
O	1084	1090	kinase
O	1091	1099	activity
O	1100	1102	by
O	1103	1104	a
O	1105	1110	novel
O	1111	1116	class
O	1117	1119	of
O	1120	1131	recombinant
O	1132	1150	immunotherapeutics
O	1150	1151	.
