words,labels
"['TACI', 'induces', 'cIAP1', '-', 'mediated', 'ubiquitination', 'of', 'NIK', 'by', 'TRAF2', 'and', 'TANK', 'to', 'limit', 'non', '-', 'canonical', 'NF', '-', 'kappaB', 'signaling', '.']","['B-Protein', 'O', 'B-Protein', 'O', 'B-Catalysis', 'B-Ubiquitination', 'O', 'B-Protein', 'O', 'B-Protein', 'O', 'B-Protein', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['B', '-', 'cell', '-', 'activating', 'factor', 'of', 'the', 'TNF', 'family', '(', 'BAFF', ')', 'is', 'a', 'critical', 'factor', 'for', 'B', '-', 'cell', 'survival', 'and', 'maturation', 'through', 'non', '-', 'canonical', 'nuclear', 'factor', 'kappaB', '(', 'NF', '-', 'kappaB', ')', 'pathway', ',', 'a', 'NF', '-', 'kappaB', 'inducing', 'kinase', '(', 'NIK', ')', '-', 'dependent', 'pathway', 'for', 'the', 'processing', 'of', 'NF', '-', 'kappaB2', 'p100', 'to', 'generate', 'p52', '.']","['B-Protein', 'I-Protein', 'I-Protein', 'I-Protein', 'I-Protein', 'I-Protein', 'O', 'O', 'O', 'O', 'O', 'B-Protein', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Protein', 'I-Protein', 'I-Protein', 'I-Protein', 'I-Protein', 'O', 'B-Protein', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Protein', 'I-Protein', 'I-Protein', 'I-Protein', 'O', 'O', 'B-Protein', 'O']"
"['While', 'BAFF', 'acts', 'primarily', 'through', 'BAFF', 'receptor', '(', 'BAFF', '-', 'R', ')', ',', 'the', 'transmembrane', 'activator', 'and', 'CAML', 'interactor', '(', 'TACI', ')', ',', 'the', 'other', 'receptor', 'for', 'BAFF', ',', 'is', 'thought', 'to', 'serve', 'as', 'a', 'negative', 'regulator', 'for', 'B', '-', 'cell', 'responses', '.']","['O', 'B-Protein', 'O', 'O', 'O', 'B-Protein', 'I-Protein', 'O', 'B-Protein', 'I-Protein', 'I-Protein', 'O', 'O', 'O', 'B-Protein', 'I-Protein', 'I-Protein', 'I-Protein', 'I-Protein', 'O', 'B-Protein', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Protein', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['However', ',', 'how', 'TACI', 'regulates', 'NF', '-', 'kappaB2', 'activity', 'is', 'largely', 'unknown', '.']","['O', 'O', 'O', 'B-Protein', 'O', 'B-Protein', 'I-Protein', 'I-Protein', 'O', 'O', 'O', 'O', 'O']"
"['In', 'this', 'study', ',', 'we', 'showed', 'that', 'constitutive', 'activation', 'of', 'TACI', 'signaling', 'suppressed', 'BAFF', '-', 'R', '-', 'mediated', 'NF', '-', 'kappaB2', 'p100', 'processing', 'with', 'the', 'up', '-', 'regulation', 'of', 'cellular', 'inhibitors', 'of', 'apoptosis', '1', '(', 'cIAP1', ')', 'and', 'TNF', 'receptor', 'associated', 'factor', '(', 'TRAF', ')', '-', 'associated', 'NF', '-', 'kappaB', 'activator', '(', 'TANK', ')', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Protein', 'O', 'O', 'B-Protein', 'I-Protein', 'I-Protein', 'O', 'O', 'B-Protein', 'I-Protein', 'I-Protein', 'I-Protein', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Protein', 'I-Protein', 'I-Protein', 'I-Protein', 'I-Protein', 'O', 'B-Protein', 'O', 'O', 'B-Protein', 'I-Protein', 'I-Protein', 'I-Protein', 'I-Protein', 'I-Protein', 'I-Protein', 'I-Protein', 'I-Protein', 'I-Protein', 'I-Protein', 'I-Protein', 'I-Protein', 'O', 'B-Protein', 'O', 'O']"
"['The', 'ubiquitination', 'of', 'NIK', 'by', 'cIAP1', 'was', 'inhibited', 'by', 'the', 'expression', 'of', 'TRAF2', 'with', 'physical', 'binding', 'to', 'cIAP1', '.']","['O', 'O', 'O', 'B-Protein', 'O', 'B-Protein', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Protein', 'O', 'O', 'O', 'O', 'B-Protein', 'O']"
"['TANK', 'deficiency', 'by', 'small', 'interfering', 'RNA', '(', 'siRNA', ')', 'impaired', 'TACI', '-', 'dependent', 'inhibition', 'of', 'NF', '-', 'kappaB2', 'p100', 'processing', '.']","['B-Protein', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Protein', 'O', 'O', 'O', 'O', 'B-Protein', 'I-Protein', 'I-Protein', 'I-Protein', 'O', 'O']"
"['TANK', 'also', 'inhibited', 'TRAF2', '-', 'mediated', 'cIAP1', 'inactivation', '.']","['B-Protein', 'O', 'O', 'B-Protein', 'O', 'O', 'B-Protein', 'O', 'O']"
"['Moreover', ',', 'the', 'recruitment', 'of', 'TRAF2', 'to', 'TACI', 'induced', 'the', 'ubiquitination', 'of', 'NIK', '.']","['O', 'O', 'O', 'O', 'O', 'B-Protein', 'O', 'B-Protein', 'O', 'O', 'B-Ubiquitination', 'O', 'B-Protein', 'O']"
"['Taken', 'together', ',', 'the', 'regulation', 'of', 'NIK', 'by', 'TACI', 'through', 'the', 'interaction', 'of', 'TANK', '/', 'TRAF2', '/', 'cIAP1', 'plays', 'a', 'pivotal', 'role', 'in', 'the', 'suppression', 'of', 'non', '-', 'canonical', 'NF', '-', 'kappaB', 'signaling', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'B-Protein', 'O', 'B-Protein', 'O', 'O', 'O', 'O', 'B-Protein', 'O', 'B-Protein', 'O', 'B-Protein', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
